Date,Price,Open,High,Low,Change %
"Apr 07, 2025",6.486,6.482,6.488,6.474,0.0166
"Apr 04, 2025",6.38,6.413,6.413,6.386,-0.0047
"Apr 03, 2025",6.41,6.408,6.463,6.408,-0.0077
"Apr 02, 2025",6.46,6.47,6.501,6.448,-0.0107
"Mar 28, 2025",6.53,6.583,6.583,6.534,-0.0061
"Mar 27, 2025",6.57,6.602,6.602,6.565,0
"Mar 26, 2025",6.57,6.63,6.63,6.569,-0.0076
"Mar 25, 2025",6.62,6.639,6.639,6.606,0.0015
"Mar 24, 2025",6.61,6.663,6.663,6.615,0.0015
"Mar 21, 2025",6.6,6.643,6.649,6.606,-0.006
"Mar 20, 2025",6.64,6.682,6.682,6.645,-0.006
"Mar 19, 2025",6.68,6.707,6.707,6.683,-0.0015
"Mar 18, 2025",6.69,6.769,6.769,6.698,-0.003
"Mar 17, 2025",6.71,6.738,6.738,6.712,-0.003
"Mar 13, 2025",6.73,6.741,6.741,6.723,0.003
"Mar 12, 2025",6.71,6.739,6.76,6.719,-0.003
"Mar 11, 2025",6.73,6.769,6.769,6.726,0
"Mar 10, 2025",6.73,6.76,6.76,6.734,0.0015
"Mar 07, 2025",6.72,6.76,6.76,6.726,0
"Mar 06, 2025",6.72,6.815,6.815,6.72,-0.003
"Mar 05, 2025",6.74,6.778,6.778,6.741,0
"Mar 04, 2025",6.74,6.763,6.778,6.747,0.0015
"Mar 03, 2025",6.73,6.769,6.797,6.74,0.0015
"Feb 28, 2025",6.72,6.751,6.751,6.727,0.0045
"Feb 27, 2025",6.69,6.699,6.732,6.699,-0.001
"Feb 25, 2025",6.697,6.708,6.708,6.697,-0.0004
"Feb 24, 2025",6.7,6.732,6.732,6.706,-0.0025
"Feb 21, 2025",6.717,6.788,6.788,6.717,0.0024
"Feb 20, 2025",6.701,6.742,6.742,6.701,0.001
"Feb 18, 2025",6.694,6.694,6.694,6.694,0.0009
"Feb 17, 2025",6.688,6.751,6.751,6.688,-0.0019
"Feb 14, 2025",6.701,6.742,6.742,6.701,-0.0004
"Feb 13, 2025",6.704,6.709,6.749,6.703,0.0009
"Feb 12, 2025",6.698,6.733,6.733,6.698,0.0013
"Feb 11, 2025",6.689,6.696,6.696,6.689,-0.0036
"Feb 10, 2025",6.713,6.788,6.788,6.713,0.0071
"Feb 07, 2025",6.666,6.667,6.788,6.665,0
"Feb 06, 2025",6.666,6.66,6.678,6.66,0.002
"Feb 05, 2025",6.653,6.675,6.675,6.653,-0.0034
"Feb 04, 2025",6.676,6.693,6.693,6.675,-0.0004
"Feb 03, 2025",6.679,6.706,6.706,6.677,-0.0033
"Jan 31, 2025",6.701,6.697,6.788,6.688,0.0013
"Jan 30, 2025",6.692,6.692,6.692,6.692,0
"Jan 29, 2025",6.692,6.789,6.789,6.692,0.0027
"Jan 28, 2025",6.674,6.679,6.725,6.674,0
"Jan 27, 2025",6.674,6.734,6.734,6.674,-0.0068
"Jan 24, 2025",6.72,6.734,6.734,6.719,-0.0019
"Jan 23, 2025",6.733,6.733,6.733,6.733,0.0019
