Date,Price,Open,High,Low,Change %
"Apr 07, 2025",6.279,6.32,6.34,6.248,0.0095
"Apr 04, 2025",6.22,6.28,6.28,6.25,-0.0048
"Apr 03, 2025",6.25,6.29,6.31,6.28,-0.0079
"Apr 02, 2025",6.3,6.47,6.48,6.32,-0.0217
"Mar 28, 2025",6.44,6.52,6.54,6.45,-0.0108
"Mar 27, 2025",6.51,6.52,6.55,6.52,-0.0031
"Mar 26, 2025",6.53,6.54,6.56,6.52,0.0015
"Mar 25, 2025",6.52,6.54,6.56,6.53,-0.0015
"Mar 24, 2025",6.53,6.55,6.58,6.55,-0.0031
"Mar 21, 2025",6.55,6.59,6.59,6.57,-0.0015
"Mar 20, 2025",6.56,6.63,6.63,6.58,-0.0015
"Mar 19, 2025",6.57,6.6,6.62,6.59,0
"Mar 18, 2025",6.57,6.6,6.6,6.59,0
"Mar 17, 2025",6.57,6.6,6.62,6.57,-0.0045
"Mar 13, 2025",6.6,6.61,6.63,6.61,0.003
"Mar 12, 2025",6.58,6.58,6.62,6.58,0.0015
"Mar 11, 2025",6.57,6.61,6.62,6.6,-0.003
"Mar 10, 2025",6.59,6.62,6.62,6.6,0.0015
"Mar 07, 2025",6.58,6.6,6.62,6.59,0
"Mar 06, 2025",6.58,6.62,6.63,6.6,0.0015
"Mar 05, 2025",6.57,6.6,6.61,6.56,0
"Mar 04, 2025",6.57,6.6,6.6,6.57,0
"Mar 03, 2025",6.57,6.6,6.61,6.59,0.0015
"Feb 28, 2025",6.56,6.6,6.62,6.58,0.0015
"Feb 27, 2025",6.55,6.54,6.58,6.54,-0.0015
"Feb 25, 2025",6.56,6.56,6.57,6.55,0.0031
"Feb 24, 2025",6.54,6.55,6.57,6.54,-0.0046
"Feb 21, 2025",6.57,6.58,6.58,6.57,0.0015
"Feb 20, 2025",6.56,6.59,6.6,6.56,-0.003
"Feb 18, 2025",6.58,6.58,6.58,6.56,0
"Feb 17, 2025",6.58,6.58,6.59,6.56,0.0015
"Feb 14, 2025",6.57,6.57,6.58,6.57,0
"Feb 13, 2025",6.57,6.6,6.6,6.57,0.0031
"Feb 12, 2025",6.55,6.55,6.57,6.54,0
"Feb 11, 2025",6.55,6.55,6.57,6.52,-0.0015
"Feb 10, 2025",6.56,6.55,6.57,6.54,0.0031
"Feb 07, 2025",6.54,6.56,6.56,6.52,-0.0046
"Feb 06, 2025",6.57,6.59,6.61,6.54,-0.0061
"Feb 05, 2025",6.61,6.62,6.63,6.6,-0.006
"Feb 04, 2025",6.65,6.64,6.66,6.63,-0.0015
"Feb 03, 2025",6.66,6.65,6.67,6.65,0.0015
"Jan 31, 2025",6.65,6.68,6.68,6.63,-0.0045
"Jan 30, 2025",6.68,6.69,6.69,6.66,0
"Jan 29, 2025",6.68,6.68,6.68,6.66,0
"Jan 28, 2025",6.68,6.71,6.71,6.66,-0.0045
"Jan 27, 2025",6.71,6.71,6.71,6.67,0.0015
"Jan 24, 2025",6.7,6.71,6.71,6.69,-0.0015
"Jan 23, 2025",6.71,6.72,6.73,6.69,0.006
"Jan 22, 2025",6.67,6.71,6.71,6.67,0
"Jan 21, 2025",6.67,6.7,6.7,6.66,-0.003
"Jan 20, 2025",6.69,6.67,6.71,6.66,-0.003
"Jan 17, 2025",6.71,6.68,6.71,6.67,0.0045
"Jan 16, 2025",6.68,6.71,6.73,6.67,-0.0045
"Jan 15, 2025",6.71,6.71,6.73,6.7,0
"Jan 14, 2025",6.71,6.7,6.72,6.7,0
"Jan 13, 2025",6.71,6.71,6.73,6.69,0.0015
"Jan 10, 2025",6.7,6.71,6.73,6.69,-0.003
"Jan 09, 2025",6.72,6.72,6.73,6.72,0.006
"Jan 08, 2025",6.68,6.65,6.68,6.65,0
"Jan 07, 2025",6.68,6.68,6.68,6.67,0.0015
"Jan 06, 2025",6.67,6.71,6.72,6.67,-0.006
"Jan 03, 2025",6.71,6.68,6.72,6.68,0.0045
"Jan 02, 2025",6.68,6.74,6.75,6.68,-0.0045
"Jan 01, 2025",6.71,6.71,6.73,6.7,0
"Dec 31, 2024",6.71,6.72,6.72,6.7,-0.0015
"Dec 30, 2024",6.72,6.71,6.72,6.7,-0.0015
"Dec 27, 2024",6.73,6.72,6.73,6.72,0.006
"Dec 26, 2024",6.69,6.67,6.69,6.66,0.006
"Dec 24, 2024",6.65,6.65,6.65,6.63,-0.003
"Dec 23, 2024",6.67,6.67,6.67,6.65,0.003
"Dec 20, 2024",6.65,6.65,6.66,6.64,0
"Dec 19, 2024",6.65,6.66,6.67,6.64,0.0015
"Dec 18, 2024",6.64,6.62,6.66,6.62,0.0015
"Dec 17, 2024",6.63,6.63,6.63,6.62,0
"Dec 16, 2024",6.63,6.63,6.64,6.62,0
"Dec 13, 2024",6.63,6.63,6.64,6.6,0
"Dec 12, 2024",6.63,6.63,6.63,6.6,0.0091
"Dec 11, 2024",6.57,6.57,6.58,6.56,0.0015
"Dec 10, 2024",6.56,6.56,6.58,6.55,0
"Dec 09, 2024",6.56,6.56,6.57,6.55,0
"Dec 06, 2024",6.56,6.57,6.57,6.55,0
"Dec 05, 2024",6.56,6.56,6.57,6.53,-0.003
"Dec 04, 2024",6.58,6.58,6.6,6.57,0
"Dec 03, 2024",6.58,6.66,6.66,6.58,-0.0135
"Dec 02, 2024",6.67,6.68,6.68,6.66,0
"Nov 29, 2024",6.67,6.68,6.69,6.67,0
"Nov 28, 2024",6.67,6.68,6.69,6.67,0.003
"Nov 27, 2024",6.65,6.66,6.66,6.65,-0.0015
"Nov 26, 2024",6.66,6.67,6.67,6.63,-0.0015
"Nov 25, 2024",6.67,6.67,6.68,6.62,0
"Nov 22, 2024",6.67,6.65,6.68,6.63,0.006
"Nov 21, 2024",6.63,6.62,6.65,6.61,0.0015
"Nov 19, 2024",6.62,6.62,6.64,6.62,0
"Nov 18, 2024",6.62,6.63,6.63,6.62,-0.0015
"Nov 14, 2024",6.63,6.64,6.65,6.62,0
